image_name,bbox_x,bbox_y,bbox_width,bbox_height
DSC_0968.JPG,378,459,144,85
DSC_0969.JPG,397,444,138,75
DSC_0970.JPG,499,554,164,98
DSC_0971.JPG,357,544,198,86
DSC_0971x.jpg,239,427,155,97
DSC_0973.JPG,384,648,224,117
DSC_0973x.jpg,498,547,186,114
DSC_0975.JPG,739,1471,288,144
DSC_0977.JPG,574,546,206,129
DSC_0979.JPG,786,543,175,95
DSC_0982.JPG,609,545,165,92
DSC_0983.JPG,515,461,157,98
DSC_0984.JPG,1302,961,376,204
DSC_0985.JPG,495,479,174,82
DSC_0988.JPG,1631,1164,385,232
DSC_0989.JPG,1381,889,401,215
DSC_0990.JPG,413,676,233,124
DSC_0992.JPG,1017,989,493,189
DSC_0994.JPG,1112,714,284,146
DSC_0995.JPG,1046,805,362,138
DSC_0996.JPG,465,571,207,137
DSC_0997.JPG,1098,831,350,177
DSC_0998.JPG,433,652,219,128
DSC_0999.JPG,834,635,215,128
DSC_1001.JPG,1280,754,273,121
DSC_1002.JPG,414,565,205,111
DSC_1003.JPG,1021,1361,491,183
DSC_1006.JPG,699,601,178,102
DSC_1007.JPG,1082,808,269,162
DSC_1008.JPG,2048,762,375,194
DSC_1009.JPG,693,645,232,121
DSC_1010.JPG,715,648,247,127
DSC_1011.JPG,530,480,258,133
DSC_1014.JPG,312,343,125,67
DSC_1015.JPG,1125,770,233,161
DSC_1018.JPG,867,810,270,168
DSC_1019.JPG,826,873,388,217
DSC_1020.JPG,748,638,212,115
DSC_1022.JPG,296,389,136,83
DSC_1023.JPG,688,707,283,151
DSC_1026.JPG,1113,1081,397,233
DSC_1027.JPG,1162,773,290,168
DSC_1028.JPG,1296,1418,477,256
DSC_1029.JPG,1198,823,313,203
DSC_1030.JPG,816,708,273,157
DSC_1032.JPG,496,608,236,140
DSC_1033.JPG,741,522,203,104
DSC_1034.JPG,553,548,226,148
DSC_1035.JPG,614,690,278,153
DSC_1037.JPG,961,787,307,159
DSC_1038.JPG,847,1091,380,253
DSC_1039.JPG,595,508,222,109
DSC_1039x.jpg,346,348,119,72
DSC_1040.JPG,495,566,195,131
DSC_1041.JPG,462,567,218,118
DSC_1045.JPG,317,454,176,88
DSC_1047.JPG,922,746,316,170
DSC_1048.JPG,438,708,261,128
DSC_1049.JPG,458,665,254,146
DSC_1051.JPG,703,585,207,135
DSC_1052.JPG,1057,1080,391,175
DSC_1053.JPG,724,649,214,114
DSC_1054.JPG,635,710,240,149
DSC_1055.JPG,774,726,252,174
DSC_1056.JPG,442,699,269,149
DSC_1057.JPG,1795,1335,572,298
DSC_1058.JPG,944,833,337,164
DSC_1059.JPG,406,693,223,114
DSC_1060.JPG,780,624,282,140
DSC_1062.JPG,1112,1253,432,228
DSC_1064.JPG,887,783,311,178
DSC_1066.JPG,1417,970,322,216
DSC_1067.JPG,754,503,195,117
DSC_1068.JPG,885,853,331,210
DSC_1069.JPG,1306,667,289,152
DSC_1070.JPG,653,545,231,138
DSC_1071.JPG,669,1031,392,261
DSC_1072.JPG,486,381,146,96
DSC_1074.JPG,511,600,218,108
DSC_1075.JPG,373,536,246,147
DSC_1076.JPG,1998,1728,666,428
DSC_1079.JPG,914,1077,495,150
DSC_1080.JPG,623,1170,389,191
DSC_1081.JPG,936,1258,281,141
DSC_1082.JPG,604,579,242,136
DSC_1084.JPG,986,867,365,174
DSC_1085.JPG,2160,1397,558,308
DSC_1087.JPG,1259,1319,565,337
DSC_1089.JPG,750,634,293,147
DSC_1090.JPG,728,485,294,106
DSC_1091.JPG,809,1157,303,137
DSC_1092.JPG,668,823,341,159
DSC_1093.JPG,1735,1219,514,250
DSC_1094.JPG,656,756,280,141
DSC_1096.JPG,633,601,213,140
DSC_1097.JPG,804,672,259,146
DSC_1098.JPG,846,689,300,141
DSC_1099.JPG,688,725,285,155
DSC_1100.JPG,1060,885,357,213
DSC_1103.JPG,773,928,386,211
